Seconds,RecordsProcessed-P0,RecordsProcessed-P1,RecordsProcessed-P2
0,217076.0,248187.0,297859
1,206417.0,205382.0,208125
2,208551.0,213837.0,207982
3,212466.0,209435.0,214566
4,211667.0,210830.0,214206
5,214038.0,214977.0,215553
6,213625.0,212215.0,209835
7,206164.0,213680.0,215190
8,211880.0,211490.0,205863
9,204980.0,209470.0,208123
10,215953.0,207016.0,204740
11,213041.0,209417.0,213030
12,191348.0,204200.0,212608
13,193969.0,176863.0,191192
14,196764.0,188374.0,189289
15,213679.0,209485.0,199031
16,240877.0,227636.0,165282
17,0.0,0.0,20
