Seconds,RecordsProcessed-P0,RecordsProcessed-P1,RecordsProcessed-P2,RecordsProcessed-P3
0,238192,138414,142059,152542
1,154759,161488,158419,156603
2,159099,159507,152764,158376
3,155100,153691,153207,151390
4,159122,156783,158201,159222
5,159812,157761,159894,156464
6,159458,150126,151032,153824
7,144503,151351,149077,150661
8,154369,158767,162561,159004
9,162415,162973,154295,155195
10,157061,159517,158055,161695
11,155750,163152,160717,156073
12,163668,157226,158912,160061
13,156358,163601,159701,154602
14,158020,159147,157673,164387
15,162999,160285,157459,158972
16,78686,165582,185345,170299
