Seconds,RecordsProcessed-P0,RecordsProcessed-P1,RecordsProcessed-P2,RecordsProcessed-P3,RecordsProcessed-P4
0,74981,121673.0,225576.0,216041.0,84606
1,129548,125041.0,127176.0,125205.0,125528
2,125624,126420.0,125301.0,124727.0,126302
3,128358,127338.0,126300.0,124440.0,125561
4,127992,127595.0,121981.0,127286.0,127661
5,127403,127323.0,129256.0,127171.0,127071
6,129747,125870.0,125239.0,127683.0,124318
7,127629,127607.0,125660.0,126773.0,126537
8,124532,121046.0,126082.0,126623.0,123460
9,117538,125120.0,119500.0,115736.0,119283
10,116707,115883.0,121338.0,115558.0,112036
11,118341,120660.0,114924.0,117942.0,117203
12,115835,122033.0,114819.0,122401.0,124045
13,120391,126405.0,129243.0,126959.0,125683
14,131811,123808.0,125100.0,120887.0,128386
15,119937,122242.0,118144.0,116371.0,121852
16,165178,157433.0,67858.0,81693.0,170117
17,41945,0.0,0.0,0.0,33847
